Report,Reviews
App ID,1055281310
App,Philips Hue
Version,All Versions
Market,iOS
Country,All Countries
Total Reviews,4831
Average Rating,1.8
Search Term,
Start Date,04/28/2016
End Date,03/25/2017
Date Generated,03/27/2017 01:35:07 PDT

Platform,Country,Date,App ID,App Name,Publisher ID,Publisher Name,User,Version,Rating,Title,Review
iOS,United States,03/25/2017,1055281310,Philips Hue,979064009,Philips Lighting BV,KJensen731,2.8.0,1,HORRIBLE,"This app is NOTHING compared to the first generation. I loved that app, it was simple, the setting were easier to use, I could set each light in a Photo Scene to the exact light recipe I needed/wanted... now everything I loved and enjoyed about Philips Hue & Friends is gone. Only reason why I still use this is because I have invested to much money not to. Thanks a lot Phillips for taking my money and leaving me with nothing but regret. I've have these lights since the day they hit the shelfs so I have. Wen there with you for every update and not once have I complained until you took away my first gen app."
iOS,Netherlands,03/24/2017,1055281310,Philips Hue,979064009,Philips Lighting BV,Rob Princen,2.8.0,1,Pas op voor deze update,"Na installatie geen verlichting meer. Bedankt Philips. Alles werkte, maar sinds de update niet meer te bedienen. Bridge ziet de lampen wel, maar zijn niet verbonden. En nu Philips?"
iOS,Germany,03/24/2017,1055281310,Philips Hue,979064009,Philips Lighting BV,jag64,2.8.0,1,meine wunderbaren szenen sind weg,warum muss man eine tolle app hue 1 so benutzerunfreundlich machen!  hue 2: hab meine hue1 upgedated: dann ging gar nichts mehr! hab sie wieder neu geladen: gottseidank läuft sie noch: meine photo szenen: ich möchte sie nicht mehr missen: tolle lichtkonstellationen! deswegen werd ich nie die hue2 benutzen: völliges rätsel: so ne tolle app so zu verhunzen
iOS,Germany,03/24/2017,1055281310,Philips Hue,979064009,Philips Lighting BV,Mlxl,2.8.0,1,"Wo sind meine Szenen hin, keine iPad App","Was soll das alles? Wo sind meine Szenen hin, warum wird fast nix übernommen. Keine iPad App sondern nur iPhone App.

Also ich fürchte so wird das nichts... auch in der neuesten Version nicht besser"
iOS,United States,03/24/2017,1055281310,Philips Hue,979064009,Philips Lighting BV,Rafahell,2.8.0,1,Pure junk!,"Awful app. Takes a life to send any command to the lights, crashs all the time. The lights are a totally waste os money. Philips used to be a reliable company, right now is no better than any cheap Chinese electronic."
iOS,United States,03/24/2017,1055281310,Philips Hue,979064009,Philips Lighting BV,"9$/7108!,:9:/'an",2.8.0,1,This upgrade is awful,"Ever since I upgrade to the new app, nothing works right. I have to reset my color scheme every night because it resets all by itself to plain white light.  Also not very user friendly navigation within. Spent a lot of money on these lights, and the app needs to work for them to work properly. Fix your app."
iOS,Canada,03/23/2017,1055281310,Philips Hue,979064009,Philips Lighting BV,KirstieBallance,2.8.0,5,Great layout,Massively better than the first iteration. If I had one complaint it would be that the sensor schedule only allows for day/night so 6:30 in the morning on Monday behaves the same as Saturday... for a night light that's a wee bit annoying.
iOS,Canada,03/23/2017,1055281310,Philips Hue,979064009,Philips Lighting BV,Super gig,2.8.0,5,Mieux que l'ancienne version,"J'adore l'application très convivial, svp augmenter le nombre de luimières à plus que 50 sur le même pont. Plus de scénarios serait aussi apprécié. Continué le beau travail, toujours apprécié les nouveautés."
iOS,Germany,03/23/2017,1055281310,Philips Hue,979064009,Philips Lighting BV,kubalke,2.8.0,1,Akku Fresser,Leert das IPAD Akku in Rekordzeit.
iOS,United States,03/23/2017,1055281310,Philips Hue,979064009,Philips Lighting BV,Musiccproducer,2.8.0,1,Cannot make my own scenes anymore!,"I loved the first app, why did you guys downgrade! I went on your website on how to create scenes and it is no where to be found! Someone help! Look at all these negative reviews! Get on it Philips or I'm not recommending you to anyone!"
iOS,United States,03/23/2017,1055281310,Philips Hue,979064009,Philips Lighting BV,Alex355753,2.8.0,2,Annoying !,"Like the app. Easy to manipulate lighting . Very frustrating that my phone does not recognize the bridge from time to time . I e deleted and re downloaded the app multiple times , even powered off my bridge and still nothing! The developers need to fix this asap!"
iOS,United States,03/23/2017,1055281310,Philips Hue,979064009,Philips Lighting BV,scott-in-columbus,2.8.0,1,Not friendly,"Doesn't work half the time and it wants to update before I use it, so I have to just manually turn lights off 50% of the time."
iOS,United States,03/23/2017,1055281310,Philips Hue,979064009,Philips Lighting BV,mikeshafer,2.8.0,4,Much better than gen 1!,"The first Hue app was... ok. It did the job but the interface was so bad that third party apps came to the party. This one is way better so far. You can easily group lights into rooms and the interface to change lights is much smoother. 

I dock it one star because as I've had the new app for about fifteen minutes, I've had to run through the bridge update process three times which takes about two minutes each time. Hopefully this will get fixed soon. 

Alexa integration still works so I'm happy with that!"
iOS,Netherlands,03/23/2017,1055281310,Philips Hue,979064009,Philips Lighting BV,TomKlaus,2.8.0,1,Hue,Veel betaald voor de Hue Lampen en dan zo'n waardeloze app! Hoe durven jullie Phillips! Jullie moeten je schamen! Hoe stel ik snel kleur en lichtsterkte in per lamp voor automatisch aangaan? Dit was eenvoudig te doen in de oude app. Waar is de alarm knop uit de oude app? Gebruiken de ontwikkelaars zelf ook Hue lampen?
iOS,United Kingdom,03/23/2017,1055281310,Philips Hue,979064009,Philips Lighting BV,B'boy,2.8.0,2,Mostly works but...,"Mostly works, changing colours and setting widgets, etc. but the routines seem to turn themselves off. For example, I set the 'Wake up' and 'Go to sleep' routines and switch them on. Next day, I check the app (as the lights don't seem to be turning on/off) and sure enough, the switches are at '0' i.e, turned off. Very annoying."
iOS,China,03/22/2017,1055281310,Philips Hue,979064009,Philips Lighting BV,Bobosha,2.8.0,1,无法登入,登入账户信息 总是写着失败登陆 不明所以
iOS,Japan,03/22/2017,1055281310,Philips Hue,979064009,Philips Lighting BV,まーる8888,2.8.0,1,戻して欲しい,第一世代のアプリの方が使いやすかった。この第二世代のアプリを作った人は馬鹿だと思うよ。退化してます。
iOS,Russia,03/22/2017,1055281310,Philips Hue,979064009,Philips Lighting BV,Oпросто,2.8.0,3,подсветка не работает(,"Подсветка то не работает, но я  же незнаю работает она ли у других... может это сама подсветка сломана..."
iOS,Germany,03/22/2017,1055281310,Philips Hue,979064009,Philips Lighting BV,bodom2k,2.8.0,2,na ja,von 10 neu installierten Lampen wurde genau eine automatisch erkannt. die anderen musste ich händisch hinzufügen. das bei einer Entfernung Lampe zu Basis von 3-4 Metern. bei der Vorgänger App wurden selbst die Lampen im oberen Stockwerk anstandslos automatisch erkannt. das vermeintlich praktische Touch ID Feld zeigt leider nur die oberste Zeile der im Widget verfügbaren Szenen. Dabei hätte ein iPhone 7 Plus wirklich ausreichend Platz. der Timer aus der Vorgänger App fehlt komplett. habe keine Lust jeden Abend beim schlafen gehen die Uhrzeit auszuwählen. Farbauswahl ist relativ umständlich. im Großen und Ganzen eher ein Rückschritt als eine Weiterentwicklung gegenüber der Vorgänger App.
iOS,Spain,03/22/2017,1055281310,Philips Hue,979064009,Philips Lighting BV,JARL1974,2.8.0,1,Battery drain,"Hello Hue Developers

My iPad battery is being drained by this app since some days. IOs is reporting a 50% of consumption and the app is always closed."
iOS,Canada,03/21/2017,1055281310,Philips Hue,979064009,Philips Lighting BV,Naturals,2.8.0,1,This update doesn't let anything work now!!wtf!!!!!,"As soon as i updated the app, nothing ever works properly. Come on philips, wtf. It worked fine for 3 years until this update. Pissing me off."
iOS,France,03/21/2017,1055281310,Philips Hue,979064009,Philips Lighting BV,bwaais,2.8.0,1,A quand les scénarios multi-pièces ?,Je suis obligé de rester sur l'ancienne version.
